target,MAE,RMSE,R2,fold
Cd,0.14939948916435242,0.19991048694716446,0.18230634927749634,1
Cu,0.22744128108024597,0.27764111011210924,0.5778435468673706,1
Ni,0.4948423206806183,0.660021999635484,-0.4116712808609009,1
Mn,6.294704914093018,8.498387800921051,0.22116619348526,1
Fe,9.256653785705566,14.24306171891796,0.16929352283477783,1
Zn,1.2567912340164185,1.8203711111431498,-0.40339016914367676,1
OVERALL,2.946638837456703,4.283232371279486,0.055924693743387856,1
Cd,0.09834951907396317,0.13573348065451937,0.5773600935935974,2
Cu,0.21581421792507172,0.35088998260554755,0.7641720771789551,2
Ni,0.3655877709388733,0.5069050236475419,0.7216256260871887,2
Mn,6.830334186553955,9.578315770301451,0.556576669216156,2
Fe,11.22580337524414,20.168174918445537,0.6562410593032837,2
Zn,1.076409101486206,1.842316474314707,0.5158904790878296,2
OVERALL,3.3020496952037015,5.430389274994884,0.6319776674111685,2
Cd,0.11551257967948914,0.14548045419631925,0.3989712595939636,3
Cu,0.1920650154352188,0.24094703075345075,0.87591153383255,3
Ni,0.40154269337654114,0.47056818250573346,0.7481410503387451,3
Mn,5.860684394836426,7.152000264827032,0.725972592830658,3
Fe,10.56020450592041,16.101341693961505,0.7817611694335938,3
Zn,0.9817935824394226,1.5777622976946601,0.6584380865097046,3
OVERALL,3.0186337952812514,4.281349987323117,0.6981992820898691,3
Cd,0.07817094027996063,0.10127193812247884,0.4127345085144043,4
Cu,0.23704694211483002,0.2743317015509745,0.8586801886558533,4
Ni,0.36106348037719727,0.46360736195657337,0.8070034384727478,4
Mn,7.798828125,9.20289246244315,0.6339423060417175,4
Fe,5.578133583068848,7.220874292162472,0.921839714050293,4
Zn,0.8176001906394958,1.0712449961025745,0.743916392326355,4
OVERALL,2.4784738769133887,3.0557037920563705,0.7296860913435618,4
Cd,0.06977579742670059,0.1001769891235812,0.5074875950813293,5
Cu,0.19063052535057068,0.21956467492806936,-0.1788109540939331,5
Ni,0.20212092995643616,0.2760436114956464,0.6100622415542603,5
Mn,5.360474109649658,6.544834738583633,0.6932259798049927,5
Fe,4.507976055145264,5.932289487477194,-0.7926888465881348,5
Zn,0.7060943841934204,0.955128331025187,0.638427734375,5
OVERALL,1.839511966953675,2.338006305438885,0.24628395835558572,5
