target,MAE,RMSE,R2,fold
Cd,0.1641303449869156,0.2070050672853058,0.12323856353759766,1
Cu,0.28279659152030945,0.39262109018423663,0.15578484535217285,1
Ni,0.5465199947357178,0.6256987242270631,-0.2686659097671509,1
Mn,7.004755020141602,8.821932891320634,0.16073483228683472,1
Fe,11.607429504394531,15.669423665620101,-0.005418658256530762,1
Zn,1.1350204944610596,1.5451092901740489,-0.011060118675231934,1
OVERALL,3.4567753250400224,4.543631788135232,0.02576892574628194,1
Cd,0.0676640123128891,0.1023540826488243,0.759670615196228,2
Cu,0.17982308566570282,0.2561753629520868,0.8743021488189697,2
Ni,0.2960542142391205,0.378222487627145,0.8450217247009277,2
Mn,5.458907604217529,6.995474306049702,0.7634763717651367,2
Fe,11.829450607299805,16.291042670408252,0.7757055163383484,2
Zn,0.8768410086631775,1.3910736474670589,0.7239960432052612,2
OVERALL,3.1181234220663705,4.235723759525512,0.7903620700041453,2
Cd,0.08799263834953308,0.11033730710206024,0.6542750597000122,3
Cu,0.14582636952400208,0.19390921011793227,0.9196316599845886,3
Ni,0.27930906414985657,0.36951476013941814,0.844698429107666,3
Mn,5.609691619873047,7.492787517113463,0.6992360353469849,3
Fe,8.080182075500488,13.557444109104207,0.8452739715576172,3
Zn,0.7568882703781128,1.1266160060752548,0.8258441090583801,3
OVERALL,2.49331500629584,3.8084348182753893,0.7981598774592081,3
Cd,0.060680799186229706,0.07541164638782928,0.6743634939193726,4
Cu,0.24979203939437866,0.34871505921180873,0.771654486656189,4
Ni,0.400743693113327,0.5500496679334329,0.7283231019973755,4
Mn,7.321598529815674,9.290194635723672,0.6269642114639282,4
Fe,10.589409828186035,16.26624694866403,0.6033740043640137,4
Zn,0.8047680258750916,1.1577884131022624,0.7008682489395142,4
OVERALL,3.237832152595123,4.614734395170506,0.6842579245567322,4
Cd,0.04615074768662453,0.06124884772189984,0.8158901333808899,5
Cu,0.1214212030172348,0.15448957192657958,0.41639697551727295,5
Ni,0.15203937888145447,0.1761610960358954,0.8411965370178223,5
Mn,4.446749687194824,5.4094967657055415,0.7904271483421326,5
Fe,3.820383071899414,4.66225031370806,-0.10726463794708252,5
Zn,0.33778178691864014,0.4228000389230831,0.9291496872901917,5
OVERALL,1.4874209792663653,1.8144077723368435,0.6142993072668711,5
