target,MAE,RMSE,R2,fold
Cd,0.14175450801849365,0.1872368694757793,0.28269773721694946,1
Cu,0.30297812819480896,0.40655392502135757,0.09480482339859009,1
Ni,0.5171979069709778,0.6224305264262056,-0.2554473876953125,1
Mn,7.355788230895996,10.004101103017428,-0.07926440238952637,1
Fe,10.707352638244629,15.731772396005688,-0.013435721397399902,1
Zn,1.1622114181518555,1.6623481193518763,-0.17031431198120117,1
OVERALL,3.3645471384127936,4.769073823216389,-0.023493210474650066,1
Cd,0.07602444291114807,0.0980625711848631,0.7794012427330017,2
Cu,0.2528492510318756,0.35891354000010095,0.7532637715339661,2
Ni,0.380852073431015,0.47820089460905085,0.7522596120834351,2
Mn,7.409534931182861,10.252544924515046,0.49195337295532227,2
Fe,11.904122352600098,21.504110963489705,0.6091916561126709,2
Zn,1.2071168422698975,1.832821543379357,0.520867645740509,2
OVERALL,3.5384166489044824,5.754109072863021,0.6511562168598175,2
Cd,0.08416004478931427,0.10846329801958736,0.6659191846847534,3
Cu,0.142402783036232,0.20809272143500304,0.9074445366859436,3
Ni,0.29914048314094543,0.4225206908684138,0.7969475388526917,3
Mn,3.9138898849487305,5.204691150014669,0.8548794388771057,3
Fe,9.536787033081055,14.67393042128758,0.8187404870986938,3
Zn,0.5890888571739197,1.0258188861064073,0.855613112449646,3
OVERALL,2.427578181028366,3.6072528612886097,0.8165907164414724,3
Cd,0.06753254681825638,0.08414015350546179,0.5946195125579834,4
Cu,0.22534756362438202,0.29641860463602143,0.8350083827972412,4
Ni,0.4139088988304138,0.5003640816264693,0.7751871347427368,4
Mn,6.62982702255249,8.19950533979842,0.7094130516052246,4
Fe,6.96426248550415,10.210616208124238,0.8437175154685974,4
Zn,0.5306181311607361,0.7895645583914138,0.8608832359313965,4
OVERALL,2.471916108081738,3.3467681576803376,0.7698048055171967,4
Cd,0.05142770707607269,0.06506090713780972,0.7922593355178833,5
Cu,0.1345391571521759,0.1618104614749717,0.3597753047943115,5
Ni,0.13593195378780365,0.1696041578863651,0.8527982831001282,5
Mn,3.771423101425171,5.162196758683866,0.8091508150100708,5
Fe,2.9711761474609375,3.8113365274117563,0.2600287199020386,5
Zn,0.44198405742645264,0.5035349342781017,0.8995081186294556,5
OVERALL,1.2510803540547688,1.6455906244788119,0.6622534294923147,5
