target,MAE,RMSE,R2,fold
Cd,0.1794687956571579,0.20952309488047813,0.10177886486053467,1
Cu,0.30644887685775757,0.3981507335233081,0.13183772563934326,1
Ni,0.6008594632148743,0.6524465559853385,-0.3794522285461426,1
Mn,7.192727088928223,9.308983875060306,0.06550657749176025,1
Fe,8.47769832611084,13.602275411206197,0.2423580288887024,1
Zn,0.9324734210968018,1.3768005719460203,0.19721239805221558,1
OVERALL,2.9482793286442757,4.258030040433608,0.05987356106440226,1
Cd,0.08569680154323578,0.10570597901336348,0.743672251701355,2
Cu,0.2656274735927582,0.40177827744943134,0.6908094882965088,2
Ni,0.3654065430164337,0.4945074687380239,0.7350757122039795,2
Mn,6.168389797210693,8.613497375406393,0.6414090394973755,2
Fe,12.516419410705566,19.588676513705405,0.6757118701934814,2
Zn,1.0359985828399658,1.5704562752413924,0.6482235193252563,2
OVERALL,3.406256434818109,5.129103648259001,0.689150313536326,2
Cd,0.08872908353805542,0.10902920624667173,0.6624239683151245,3
Cu,0.14983700215816498,0.18074846100580694,0.9301707148551941,3
Ni,0.24156524240970612,0.34153070167443733,0.8673303127288818,3
Mn,3.5835862159729004,4.98460363742607,0.8668932318687439,3
Fe,7.3914103507995605,10.99282880591934,0.8982751965522766,3
Zn,0.4594413638114929,0.8247506472864585,0.9066677689552307,3
OVERALL,1.98576154311498,2.905581909926464,0.8552935322125753,3
Cd,0.06249603256583214,0.07428333333551941,0.6840349435806274,4
Cu,0.21233488619327545,0.3042969523712569,0.8261213302612305,4
Ni,0.33611559867858887,0.4811630659726235,0.792110025882721,4
Mn,6.302525043487549,7.591298402242186,0.7509233951568604,4
Fe,7.573797702789307,11.557942910030462,0.7997522950172424,4
Zn,0.7691702246665955,0.9391786487619455,0.8031657934188843,4
OVERALL,2.5427399147301912,3.491360552118999,0.776017963886261,4
Cd,0.056824080646038055,0.0678893997698584,0.7738038897514343,5
Cu,0.15787094831466675,0.2041015533739298,-0.018619179725646973,5
Ni,0.11899112164974213,0.14839341738795778,0.8873142004013062,5
Mn,4.766931056976318,5.665682015234697,0.7701070308685303,5
Fe,4.343864440917969,5.3300842083833,-0.44719958305358887,5
Zn,0.5097057223320007,0.603915504888013,0.8554480075836182,5
OVERALL,1.659031228472789,2.0033443498396264,0.4701423943042755,5
